scenario,algorithm,algo_label,run_id,n_flows,end_mape,end_jfi_c,duration_s
steady,wrr,WRR,1,220,16.9697,0.949386,89.27
steady,wrr,WRR,2,220,0.0,1.0,89.04
steady,wrr,WRR,3,219,0.4566,0.999982,89.18
steady,wrr,WRR,4,219,0.4566,0.999982,90.2
steady,wrr,WRR,5,220,0.0,1.0,90.62
steady,wrr,WRR,6,220,0.0,1.0,89.78
steady,wrr,WRR,7,220,0.0,1.0,90.42
steady,wrr,WRR,8,220,0.0,1.0,90.61
steady,wrr,WRR,9,220,0.0,1.0,90.57
steady,wrr,WRR,10,220,0.0,1.0,89.38
steady,wrr,WRR,11,219,0.6596,0.999948,89.81
steady,wrr,WRR,12,220,0.0,1.0,89.99
steady,wrr,WRR,13,220,0.0,1.0,90.19
steady,wrr,WRR,14,220,0.0,1.0,90.43
steady,wrr,WRR,15,220,0.0,1.0,88.97
steady,iwrr,IWRR,1,220,0.0,1.0,89.63
steady,iwrr,IWRR,2,220,0.0,1.0,89.62
steady,iwrr,IWRR,3,220,0.0,1.0,89.78
steady,iwrr,IWRR,4,220,0.0,1.0,89.78
steady,iwrr,IWRR,5,220,0.0,1.0,89.17
steady,iwrr,IWRR,6,220,0.0,1.0,88.75
steady,iwrr,IWRR,7,220,0.0,1.0,89.39
steady,iwrr,IWRR,8,220,0.0,1.0,89.52
steady,iwrr,IWRR,9,220,0.0,1.0,89.15
steady,iwrr,IWRR,10,220,0.0,1.0,89.39
steady,iwrr,IWRR,11,220,0.0,1.0,90.0
steady,iwrr,IWRR,12,220,0.0,1.0,89.19
steady,iwrr,IWRR,13,220,0.0,1.0,89.24
steady,iwrr,IWRR,14,220,0.0,1.0,90.17
steady,iwrr,IWRR,15,220,0.0,1.0,90.0
steady,wlc,WLC,1,220,0.0,1.0,90.01
steady,wlc,WLC,2,220,0.0,1.0,90.04
steady,wlc,WLC,3,220,0.0,1.0,90.26
steady,wlc,WLC,4,220,0.0,1.0,89.64
steady,wlc,WLC,5,220,0.0,1.0,89.8
steady,wlc,WLC,6,220,0.0,1.0,89.8
steady,wlc,WLC,7,220,0.0,1.0,89.66
steady,wlc,WLC,8,220,0.0,1.0,89.61
steady,wlc,WLC,9,220,0.0,1.0,89.76
steady,wlc,WLC,10,220,0.0,1.0,89.38
steady,wlc,WLC,11,220,0.0,1.0,88.79
steady,wlc,WLC,12,220,0.0,1.0,89.62
steady,wlc,WLC,13,220,0.0,1.0,90.06
steady,wlc,WLC,14,220,0.0,1.0,89.81
steady,wlc,WLC,15,220,0.0,1.0,90.24
steady,saintelague,Sainte-Laguë,1,219,0.4566,0.999982,90.01
steady,saintelague,Sainte-Laguë,2,219,0.6596,0.999948,89.5
steady,saintelague,Sainte-Laguë,3,220,0.0,1.0,89.81
steady,saintelague,Sainte-Laguë,4,220,0.0,1.0,90.03
steady,saintelague,Sainte-Laguë,5,220,0.0,1.0,89.65
steady,saintelague,Sainte-Laguë,6,220,0.0,1.0,89.03
steady,saintelague,Sainte-Laguë,7,220,0.0,1.0,89.36
steady,saintelague,Sainte-Laguë,8,220,0.0,1.0,88.92
steady,saintelague,Sainte-Laguë,9,220,0.0,1.0,89.26
steady,saintelague,Sainte-Laguë,10,220,0.0,1.0,90.03
steady,saintelague,Sainte-Laguë,11,220,0.0,1.0,89.0
steady,saintelague,Sainte-Laguë,12,220,0.0,1.0,89.81
steady,saintelague,Sainte-Laguë,13,220,0.0,1.0,90.2
steady,saintelague,Sainte-Laguë,14,220,0.0,1.0,90.44
steady,saintelague,Sainte-Laguë,15,220,0.0,1.0,88.99
